station_id,city,charger_type,total_sessions,avg_charging_time,energy_delivered_kWh,price_per_kWh,revenue,peak_hours,customer_rating,utilization_rate,day,month
STN_001,Pune,Supercharger,197,81,269.68,23.68,36810.69,6-10 PM,2.9,86.28,14,6
STN_002,Hyderabad,Slow,170,41,124.75,15.86,13065.09,6-10 AM,4.8,89.58,7,1
STN_003,Berlin,Fast,178,77,61.61,11.65,11546.24,6-10 PM,3.5,94.62,17,7
STN_004,Sydney,Supercharger,61,77,68.61,15.26,11570.63,6-10 PM,3.5,33.04,12,12
STN_005,New York,Fast,118,68,235.61,24.64,37582.99,2-6 PM,3.8,49.72,20,1
STN_006,Ahmedabad,Slow,26,71,196.92,15.87,31607.89,2-6 PM,2.6,76.87,4,5
STN_007,Berlin,Fast,163,61,57.3,12.92,25922.62,6-10 AM,2.9,72.2,9,10
STN_008,Chennai,Supercharger,109,89,52.71,18.4,19353.22,2-6 PM,4.3,31.54,6,8
STN_009,Pune,Supercharger,131,34,219.26,11.32,40088.02,2-6 PM,2.7,81.19,16,4
STN_010,Surat,Slow,79,73,49.65,8.37,20697.8,2-6 PM,4,36.83,25,5
STN_011,Bangalore,Fast,132,79,251.9,9.32,37663.98,6-10 PM,3.1,36.79,28,4
STN_012,Pune,Supercharger,21,27,220.69,9.3,22565.4,6-10 AM,3.5,60.27,22,12
STN_013,New York,Slow,148,72,51.96,9.73,20077.78,10 AM - 2 PM,3.2,64.47,22,12
STN_014,New York,Supercharger,67,79,52.91,9.5,23507.19,6-10 PM,3.4,63.51,21,4
STN_015,Ahmedabad,Supercharger,159,24,296.39,18.54,17055.11,2-6 PM,4.3,26.86,21,12
STN_016,Chennai,Fast,56,87,131.05,10.27,34904.38,6-10 PM,3.2,85.81,2,8
STN_017,Hyderabad,Supercharger,179,25,130.07,13.22,25108.82,2-6 PM,3.9,39.92,24,2
STN_018,Ahmedabad,Fast,28,66,249.46,23.14,14288.51,2-6 PM,3.7,29.71,8,1
STN_019,Ahmedabad,Supercharger,118,74,285.76,15.53,40982.98,6-10 PM,4.2,86.66,11,3
STN_020,Bangalore,Slow,166,59,296.22,19.02,20355.65,6-10 AM,4.8,91.67,13,9
STN_021,Kolkata,Supercharger,67,71,233.41,10.1,26742.11,2-6 PM,4.3,84.66,17,4
STN_022,Chennai,Fast,150,35,131.59,10.46,41258.88,6-10 AM,3,80.71,8,10
STN_023,Mumbai,Fast,167,32,52.55,7.74,29969.52,10 AM - 2 PM,2.6,69.14,21,5
STN_024,Ahmedabad,Slow,171,49,239.83,10.04,9675.92,2-6 PM,3.2,61.31,18,2
STN_025,London,Supercharger,73,38,180.77,12.01,42593.28,6-10 AM,4,26.52,18,4
STN_026,Tokyo,Supercharger,139,36,144.54,10.19,30108.32,6-10 AM,2.6,50.63,14,2
STN_027,Kolkata,Slow,180,82,274.72,8.6,18396.22,10 AM - 2 PM,3.7,47.95,15,2
STN_028,Mumbai,Supercharger,171,38,60.02,9.17,10570.88,6-10 AM,4,39.48,6,4
STN_029,London,Supercharger,135,77,163.01,15.29,36761.01,6-10 AM,3.3,74.26,11,6
STN_030,Chennai,Fast,94,74,33.07,10.71,29802.91,10 AM - 2 PM,4.4,57.19,13,7
STN_031,Delhi,Supercharger,132,81,156.54,13.56,26338.44,2-6 PM,2.8,26.08,25,10
STN_032,London,Supercharger,183,42,45.2,16.06,40755.7,6-10 AM,2.7,36.51,1,3
STN_033,Surat,Slow,185,28,62.08,19.43,36543.89,6-10 AM,4.3,71.24,28,3
STN_034,Kolkata,Slow,123,31,61.73,7.71,11067,6-10 AM,3.7,25.71,6,10
STN_035,Berlin,Fast,103,20,205.29,21.39,17468.88,6-10 PM,4.2,83.84,9,6
STN_036,London,Supercharger,131,77,231.43,18.3,14939.57,10 AM - 2 PM,3.6,57.14,8,12
STN_037,Jaipur,Supercharger,118,20,187.51,8.47,34757.85,6-10 PM,3.1,56.04,11,3
STN_038,Delhi,Supercharger,172,53,289.79,22.72,6341.3,10 AM - 2 PM,4.5,64.43,22,2
STN_039,New York,Fast,112,67,131.22,23.58,27795.59,2-6 PM,4.5,81.85,19,8
STN_040,New York,Fast,165,20,107.14,8.1,35498.35,2-6 PM,4.2,46.09,24,5
STN_041,Sydney,Slow,147,35,264.52,11.98,40070.63,6-10 AM,3.2,70.85,9,1
STN_042,Surat,Fast,129,80,90.37,21.51,18683.27,10 AM - 2 PM,4,62.43,17,3
STN_043,London,Supercharger,101,83,290.07,20.47,37850.29,2-6 PM,3.4,40.03,12,10
STN_044,London,Supercharger,73,82,33.28,10.32,9425.27,10 AM - 2 PM,2.7,85.9,25,8
STN_045,Sydney,Fast,182,88,291.87,10.77,38858.09,2-6 PM,4.8,79.81,14,4
STN_046,Tokyo,Supercharger,188,41,41.65,13.67,10099.55,6-10 PM,2.8,69.38,15,7
STN_047,Tokyo,Supercharger,180,86,270.61,15.72,20891.49,2-6 PM,4.9,83.79,16,10
STN_048,Sydney,Fast,87,45,172.48,18.13,36891.81,6-10 PM,3.6,85.05,22,12
STN_049,Tokyo,Fast,52,35,298.1,13.64,10996.7,2-6 PM,3,73.13,22,2
STN_050,Bangalore,Supercharger,161,70,49.93,15.33,14170.06,6-10 AM,3.9,82.78,28,7
STN_051,London,Supercharger,40,76,179.54,20.45,33890.1,6-10 PM,4.7,72.31,20,5
STN_052,Pune,Supercharger,67,48,291.71,7.66,33801.46,2-6 PM,4.3,71.01,1,5
STN_053,Hyderabad,Slow,167,88,171.24,11.54,30645.91,6-10 AM,4.5,66.4,10,6
STN_054,Jaipur,Slow,147,66,199.94,19.84,32757.94,6-10 PM,4.1,76.45,8,9
STN_055,Bangalore,Slow,155,81,217.85,23.11,26708.98,6-10 AM,4.2,31.9,18,6
STN_056,Chennai,Fast,154,88,152.73,16.21,15071.96,10 AM - 2 PM,4.6,86.07,28,12
STN_057,Bangalore,Slow,164,35,199.44,16.58,18827.84,10 AM - 2 PM,3.1,85.39,1,8
STN_058,Pune,Fast,147,67,187.76,8.93,12263.91,6-10 PM,3.7,22.19,2,7
STN_059,Chennai,Fast,52,58,273.31,15.05,41338.02,2-6 PM,3.1,81.94,1,9
STN_060,Jaipur,Slow,195,52,42.27,16.59,28335.67,6-10 PM,5,29.67,1,4
STN_061,Pune,Slow,134,42,105.86,11.36,21034.06,6-10 AM,4.9,45.13,9,2
STN_062,Mumbai,Slow,138,29,286.61,11.85,23480.23,2-6 PM,2.6,75.76,13,7
STN_063,Hyderabad,Supercharger,41,88,270.37,13.79,42891.33,10 AM - 2 PM,4.3,32.06,1,6
STN_064,Jaipur,Slow,177,53,153.03,7.36,11134.06,2-6 PM,4.8,81.35,13,1
STN_065,London,Supercharger,57,71,197.44,12.8,28449.19,10 AM - 2 PM,3,82.41,20,11
STN_066,Tokyo,Fast,128,29,104.89,10.81,25235.55,2-6 PM,3.9,58.06,26,9
STN_067,Mumbai,Supercharger,70,38,80.79,12.89,29458.17,2-6 PM,4.8,20.48,22,9
STN_068,Surat,Slow,27,77,155.2,9.16,5724.41,2-6 PM,2.6,41.53,7,12
STN_069,Jaipur,Fast,46,20,125.41,23.03,39884.96,6-10 AM,4.2,66.27,2,2
STN_070,Surat,Fast,46,88,187.59,17.68,42284.73,6-10 AM,3.2,93.59,6,3
STN_071,Chennai,Fast,40,23,50.99,19.22,27605.33,6-10 PM,4.8,67.39,7,5
STN_072,Mumbai,Supercharger,49,35,293.09,21.21,32866.03,6-10 PM,4.9,39.49,26,5
STN_073,Hyderabad,Slow,116,43,296.28,15.97,41899.98,10 AM - 2 PM,4.9,67.55,14,1
STN_074,London,Fast,47,21,218.5,8.56,33289.55,6-10 AM,3.7,60.5,26,8
STN_075,Sydney,Fast,130,51,174.75,16.67,11101.56,10 AM - 2 PM,4.7,78.49,18,12
STN_076,London,Fast,80,43,113.57,17.56,28051.53,6-10 PM,4.6,28.02,15,8
STN_077,Pune,Supercharger,67,31,249.72,20.42,29268.6,10 AM - 2 PM,3.3,77.08,2,4
STN_078,London,Supercharger,166,69,214.88,14.77,21965.23,6-10 PM,4.6,60.59,10,7
STN_079,Berlin,Slow,23,54,73.91,9.3,34457.77,6-10 AM,2.6,92.22,23,11
STN_080,Ahmedabad,Supercharger,54,52,275.95,12.11,42374.68,2-6 PM,4,45.64,12,10
STN_081,Sydney,Fast,68,52,252.09,13.54,42022.74,6-10 AM,3.1,67.45,17,3
STN_082,Bangalore,Slow,36,80,286.45,18.63,23033.57,10 AM - 2 PM,2.8,89.9,8,6
STN_083,Tokyo,Fast,191,70,225.94,17.27,9529.52,10 AM - 2 PM,2.7,27.69,11,10
STN_084,Delhi,Fast,177,62,195.62,13.41,44393.65,6-10 AM,4.2,90.29,3,10
STN_085,Hyderabad,Supercharger,65,31,142.93,24.76,38555.92,6-10 AM,3.3,71.59,27,12
STN_086,Mumbai,Slow,136,86,281.84,17.9,9986.51,6-10 PM,4.3,25.09,6,9
STN_087,Ahmedabad,Supercharger,25,84,263.84,11.27,41833.68,10 AM - 2 PM,2.7,42.57,9,1
STN_088,Hyderabad,Supercharger,118,52,42.21,8.83,39795.85,10 AM - 2 PM,3.3,73.11,6,5
STN_089,Mumbai,Slow,143,59,37.12,9.75,25753.52,6-10 AM,3.8,25.05,9,4
STN_090,Tokyo,Fast,56,62,131.65,11.43,28651.02,2-6 PM,4.5,63.66,7,8
STN_091,Kolkata,Fast,43,63,248.85,9.89,20960.11,10 AM - 2 PM,3.3,45.94,9,11
STN_092,Kolkata,Slow,112,48,296.56,10.36,7190.47,2-6 PM,4.1,66.57,18,12
STN_093,Surat,Fast,65,32,70.61,12.13,18407.89,6-10 AM,4.7,23.43,12,1
STN_094,Hyderabad,Slow,114,31,190.42,10.12,37114.14,6-10 AM,4,85.37,8,9
STN_095,Kolkata,Slow,118,65,132.84,23.14,5185.28,6-10 PM,3.1,93.01,8,6
STN_096,Berlin,Supercharger,135,21,291.88,8.44,18339.97,10 AM - 2 PM,2.6,92.67,18,4
STN_097,Sydney,Slow,179,54,257.37,16.44,20926.75,2-6 PM,4.7,76.22,28,12
STN_098,Mumbai,Supercharger,180,27,256.35,14.39,26495.82,6-10 PM,2.6,29.76,20,9
STN_099,Surat,Fast,86,45,156.55,24.68,41794.22,10 AM - 2 PM,4.7,76.87,15,11
STN_100,London,Fast,147,53,142,9.02,18853.84,6-10 PM,3.8,21.84,27,5
STN_101,Mumbai,Fast,37,26,103.82,14.16,18878.13,6-10 AM,4.8,21.66,7,5
STN_102,Surat,Fast,44,87,45.22,24.45,34500.05,10 AM - 2 PM,4.5,44.27,11,12
STN_103,Tokyo,Supercharger,73,77,263.48,22.58,23088.72,6-10 PM,5,56.65,20,5
STN_104,Hyderabad,Fast,77,48,249.48,21.71,13984.19,6-10 PM,3.4,77.78,16,1
STN_105,Tokyo,Slow,86,55,299.92,11.64,23097.58,2-6 PM,4.4,71.25,4,1
STN_106,Sydney,Slow,123,40,299.09,10.08,10634.28,6-10 PM,3.5,53.44,6,8
STN_107,Sydney,Slow,193,55,179.97,19.04,12055.48,10 AM - 2 PM,3.7,40.52,26,12
STN_108,Ahmedabad,Supercharger,43,29,237.63,23.73,24934.71,10 AM - 2 PM,4.1,94.78,22,8
STN_109,Tokyo,Fast,133,43,285.09,17.02,21757.02,2-6 PM,4.7,51.96,26,12
STN_110,Pune,Fast,51,83,259.4,17.29,41593.84,10 AM - 2 PM,5,53.85,3,6
STN_111,London,Fast,194,68,96.78,12.04,19495.76,6-10 AM,4.4,32.27,9,12
STN_112,Jaipur,Supercharger,105,55,151.65,20.85,28223.53,10 AM - 2 PM,3.5,79.61,28,11
STN_113,Tokyo,Slow,170,43,64.87,10.37,30290.57,10 AM - 2 PM,3.6,72.03,10,4
STN_114,Ahmedabad,Slow,146,42,287.59,12.83,5523.78,6-10 PM,4.3,36.56,14,2
STN_115,Chennai,Fast,174,81,193.67,14.66,31541.49,6-10 PM,3.1,26.18,11,2
STN_116,Berlin,Slow,149,56,91.73,16.14,12121.44,10 AM - 2 PM,2.8,71.04,18,9
STN_117,Mumbai,Slow,36,31,211.36,11.36,43442.81,2-6 PM,3.4,69.09,22,5
STN_118,Sydney,Supercharger,123,74,196.89,9.07,10946.51,6-10 PM,3.2,40.49,12,4
STN_119,Chennai,Supercharger,180,32,126.7,17.99,21584.96,2-6 PM,3.2,91.31,23,10
STN_120,Ahmedabad,Supercharger,156,42,60.66,12.2,8413.99,10 AM - 2 PM,3.1,31.33,12,1
STN_121,Surat,Supercharger,62,49,211.32,17.46,44874.97,10 AM - 2 PM,2.6,52.43,13,7
STN_122,Jaipur,Fast,195,36,170.48,9.78,25087.8,6-10 AM,2.5,90.77,25,3
STN_123,London,Supercharger,58,81,238.53,15.66,28815.4,6-10 PM,5,51.48,13,6
STN_124,London,Slow,189,32,170.44,16.59,7683.06,10 AM - 2 PM,3.6,67.89,19,5
STN_125,London,Fast,45,78,260.09,7.93,34998.42,6-10 AM,3.5,49.82,26,5
STN_126,Berlin,Slow,118,38,179.01,13.06,13396.22,6-10 PM,4.2,40.57,19,11
STN_127,Jaipur,Slow,69,68,181.45,9.42,40922.17,10 AM - 2 PM,3,93.8,23,5
STN_128,Berlin,Slow,172,31,266.7,8.14,13205.59,10 AM - 2 PM,4.9,50.7,14,1
STN_129,Sydney,Supercharger,171,80,138.94,24.82,12627.51,6-10 PM,4.5,87.06,4,1
STN_130,Berlin,Supercharger,32,38,66.18,12.8,6461.99,6-10 PM,2.7,37.25,13,3
STN_131,Delhi,Fast,79,28,37.77,21.58,23882.68,6-10 PM,3.5,35.98,8,12
STN_132,Jaipur,Fast,154,47,233.89,11.58,27593.65,10 AM - 2 PM,4.7,22.34,23,10
STN_133,Pune,Supercharger,76,71,197.48,19.27,7628.35,10 AM - 2 PM,4.9,68.88,21,4
STN_134,Jaipur,Slow,55,35,220.1,20.68,36021.1,6-10 AM,3.7,47.64,23,5
STN_135,Ahmedabad,Fast,192,88,87.5,17.72,23131.55,2-6 PM,4,84.83,19,2
STN_136,Delhi,Supercharger,39,31,66.82,15.49,25975.61,6-10 PM,2.9,55.49,12,8
STN_137,London,Supercharger,84,44,33.93,14.41,22630.51,10 AM - 2 PM,5,92.61,18,11
STN_138,Ahmedabad,Supercharger,27,71,124.66,13.28,21030.52,10 AM - 2 PM,3.1,33.91,6,11
STN_139,Ahmedabad,Slow,163,72,189.28,23.73,27385.61,6-10 PM,4.9,85.15,18,2
STN_140,Sydney,Supercharger,161,42,135.91,21.95,11209.61,2-6 PM,4.1,78.24,19,9
STN_141,New York,Supercharger,134,35,148.12,24.37,12277.13,6-10 PM,4,77.82,22,2
STN_142,Bangalore,Supercharger,162,76,274.12,9.24,39471.42,2-6 PM,3.8,83.36,5,9
STN_143,Delhi,Supercharger,111,58,124.03,20.16,42844.62,10 AM - 2 PM,3.1,77.08,24,7
STN_144,Ahmedabad,Fast,117,72,168.78,23.89,19932.37,2-6 PM,2.9,66.97,9,8
STN_145,Bangalore,Fast,85,61,241.59,10.26,15829.79,6-10 AM,3.1,29.84,27,11
STN_146,Bangalore,Supercharger,51,77,137.07,8.2,30759.98,10 AM - 2 PM,3,22.44,3,2
STN_147,Delhi,Slow,105,58,197.96,20.34,21349.37,6-10 AM,4.4,89.06,28,7
STN_148,New York,Fast,70,33,262.84,17.34,6015.45,6-10 PM,3.4,66.25,10,12
STN_149,Chennai,Supercharger,172,24,286.37,22.15,11246.1,6-10 PM,2.6,79.74,19,6
STN_150,Surat,Fast,82,54,69.71,9.52,33638.89,6-10 PM,4.9,56.11,3,4
